# Hymmnos（塔语）词典 · 共881条 · 来源 github.com/KevinOctavianus/hymmno（HymmnoLexicon 0.3）
# 列：词	词性	英文释义	原作例句	方言（Unknown [Unofficial] = 同好补充的非官方词，优先用官方词）
# 用法：grep -i "wind" 设定/参考/hymmnos词典.tsv   （按英文释义查词）
-	enter	～に入り込む | enter ~		Central
0	adjective	0	Rrha ki ra echcrra li 0 Rrha ki ra chs maxim  —EXEC_METAFALICA/.	Central Standard Note
1	adjective	1	fulual 1 dornpica art 1 walasye enne  —EXEC_HIBERNATION/.	Central Standard Note
10	adjective	10	En 10 dyyal nuih bexm  —EXEC_HIBERNATION/.	Central Standard Note
100	adjective	100	En 100 dyyal nuih bexm  —EXEC_HIBERNATION/.	Central Standard Note
1000	adjective	1000	En 1000 dyyal nuih bexm  —EXEC_HIBERNATION/.	Central Standard Note
10000	adjective	10000		Central Standard Note
2	adjective	2	En 2 dyyal nuih bexm  —EXEC_HIBERNATION/.	Central Standard Note
3	adjective	3	En 3 dyyal nuih bexm  —EXEC_HIBERNATION/.	Central Standard Note
4	adjective	4	En 4 dyyal nuih bexm  —EXEC_HIBERNATION/.	Central Standard Note
5	adjective	5	En 5 dyyal nuih bexm  —EXEC_HIBERNATION/.	Central Standard Note
6	adjective	6	En 6 dyyal nuih bexm  —EXEC_HIBERNATION/.	Central Standard Note
7	adjective	7	En 7 dyyal nuih bexm  —EXEC_HIBERNATION/.	Central Standard Note
8	adjective	8	En 8 dyyal nuih bexm  —EXEC_HIBERNATION/.	Central Standard Note
9	adjective	9	En 9 dyyal nuih bexm  —EXEC_HIBERNATION/.	Central Standard Note
<-x	language construct	(anaphor indicator)		New Testament of Pastalie
>>	language construct	Tras	Rrha ki ra nha-HYMMNOS1x01 >> pat mea en xest SOL=MARTA > A2  —EXEC_SOL=FAGE/.	Central
ADDR	language construct	address designation		Unknown [Unofficial]
Chronicle Key	n.	Chronicle Key (a hymn)		Alpha (Eolia)
D_CELL	language construct	D-Cellophane		Unknown [Unofficial]
Despedia	n.	Despedia (a hymn)		
Dia	n.	king, throne, ruler	Hyear Ma num ra gyusya yorr ee Dia oz ruinien  —EXEC_DESPEDIA/.	Central Standard Note
EXA_PICO	noun	Exa Pico		Unknown [Unofficial]
Fou	E.s. I	A little	Fou paks ra kiafa wael en chs frawr  —Chanting the Moon ~Tsukikanade~	Central Standard Note
Haibanation	n.	Hibernation (a hymn)		Unknown [Unofficial]
Harmonius	n.	Harmonious (a hymn)		Central
Implanta	n.	Implanta (a hymn); God's Tree in the myths of Metafalss, fruit, seed	x. sorr a.u.k. mutrk rhaplanca en Implanta  —METHOD_METAFALICA/.	Unknown [Unofficial]
Linca	n.	Linker (a hymn)		Central Standard Note
Ma	E.s. I	presence of mind	Ma ki ra murfanare messe murfanare messe  —Eternally Bonded	Central Standard Note
Manac	n.	true name, name of soul	knawa Manac yor Manac  —EXEC_DESPEDIA/.	Cult Ciel Note
Maoh	n.	Rhaplanca's partner in the myths of Metafalss.		Ancient Metafalss
Meta	noun	Mid-sized mountainous region		Unknown [Unofficial]
Metafalica	n.	Metafalica (a hymn), Song of Hope (to Mir), Song of Creation, Utopia	Faura selena anw Metafalica  —EXEC_HARMONIOUS	Metafalss Note
Nn	E.s. I	lethargy	Nn i ga exec hymme METAFALICA >> SOL=FAGE/1x10 enter FRELIA  —EXEC_METAFALICA/.	Central Standard Note
Paja	n.	Purger (a hymn)		Central Standard Note
Phantasmagoria	n.	Phantasmagoria (a hymn)		Alpha Note (EOLIA)
Re=Nation	n.	Re-Nation (a hymn)		Central Standard Note
Replekia	n.	Replakia (a hymn)		
Rhaplanca	n.	a goddess from Meta Falss' mythology, and Maoh's partner	Rhaplanca selena phira  —EXEC_METAFALICA/.	Ancient Metafalss
Rig=Veda	n.	Rigveda (a hymn)		Metafalss Note
Rrha	E.s. I	trance state (Note	Used only for a trance state in which the emotions of the singer aren't really expressed. Naturally, when this emotion sound is used, it doesn't show the same calm and composure of the other emotion sounds, and it flows by itself from the mouth of the singer): Rrha ki ra chs hymmnos aulla mea tes ciel  —EXEC_with.METHOD_METAFALICA/.	Central Standard Note
Sol=Fage	n.	Solfege (a hymn)		
Sphilia	n.	Sphilia (a hymn)		
Sublimation	n.	Sublimation (a hymn), sublimation (as in disappear)		
Suspend	n.	Suspend (a hymn)		Central Standard Note
U-TA	noun	song		Unknown [Unofficial]
VIENA	n.	Viena (a hymn)	Wee yea ra exec hymme VIENA >> SOL=FAGE/1x10 enter FRELIA  —EXEC_VIENA/.	
Was	E.S.I	very intensely	Was yea ra hymme dilete yor enter ar ciel yehar  —Singing Hill - Harmonics FRELIA	Central Standard Note
Wee	E.S.I	fairly	Wee yea ra enne ar fee ar dor ar ciel  —EXEC_LINKER	Central Standard Note
a.u.k.	E.v.	be	x. rre omness a.u.k. zodaw ess rudje noglle doodu  —EXEC_over.METHOD_SUBLIMATION/.~lamenza	New Testament of Pastalie
accrroad	v.	give, send	wee paks ga faf yora accrroad mea  —EXEC_SPHILIA/.	Central Standard Note
acra	adv.	surely, certainly (Note	Used for expressing something that's highly probable to happen): yorr acra firle wael  —EXEC_HARMONIOUS_FUSION/.	Central Standard Note
adyya	n.	today		Central Standard Note
afezeria	v.	bless	wassee zess frawr bautifal en afezeria  —EXEC_over.METHOD_SUBLIMATION/.~omness chs ciel sos infel	Central Standard Note
ag	conj.	and (Note	Equivalent to the English "and"): x. harr h.m.m.r. eje ag dazua  —METHOD_REPLEKIA/.	New Testament of Pastalie
aiph	conj.	if	Nnoi crown aiph arsye yor  —The Heart Speaks	Central Standard Note
aje	adj.	new	x. sorr a.u.k. zess l.l.n. anw aje harphe  —METHOD_IMPLANTA/.	New Testament of Pastalie
akata	n.	story	Yanyaue akata messe anw hymmne an fhyu  —EXEC_VIENA/.	Central Standard Note
ale	n.	sound		New Testament of Pastalie
alroen	n.	Proof, testimony		Unknown [Unofficial]
alroetsue	adj.	of atonement, of recompense		Metafalss Note
ammue	n.	sound, sound waves		Cult Ciel Note
amyure	noun	repentance, penitence		Unknown [Unofficial]
an	adv.	together	slepir tes pauwel an hyzik  —EXEC_CHRONICLE KEY	Central Standard Note
anw	prep.	(direct object marker) (Note	The pronunciation changes depending on if the last letter of the preceeding word was a vowel or consonant. The pronunciation used ("anwa" or "anu") depends on which one the speaker thinks that flows and sounds better with the rest of the phrase): Wee ki ra selena anw yasra wiene  —EXEC_CHRONICLE KEY	Metafalss Note
apea	E.s. (II)	immersed in happiness	Was apea ra chs yuez en yanje yanje pitod yor  —EXEC_over.METHOD_SUBLIMATION/.~omness chs ciel sos infel	Cult Ciel Note
ar	adj.	only, unique	ar w.r.l. du cia dn ryewa keg  —METHOD_METAFALICA/.	Central Standard Note
araus	v./n.	exchange	Wee ki ra araus tes soare en giue mea iem  —EXEC_CHRONICLE KEY	Unknown [Unofficial]
arhou	n.	hope, wish, blessing	v.s.k. sarr arhou nafa infel  —EXEC_with.METHOD_METAFALICA/.	New Testament of Pastalie
arrya	n.	arrow		Central Standard Note
arsye	v.	share	Nnoi crown touwaka arsye yor  —The Heart Speaks	Central Standard Note
art	conj.	because of, by means of	chs plina en grlanza art fhyu  —EXEC_over.METHOD_SUBLIMATION/.~omness chs ciel sos infel	Central Standard Note
asyar	verb	melt into		Unknown [Unofficial]
aterra	v./n.	accept, receive	presia aterra cremia sos viuy lonfa  —EXEC_CHRONICLE KEY	Unknown [Unofficial]
ates	v.	accept, receive	Was paks ra ates omnis  —EXEC_with.METHOD_METAFALICA/.	Unknown [Unofficial]
au	E.s. (II)	sad	na au an Diasee an Diasee eterne  —EXEC_SUSPEND/.	Alpha Note (EOLIA)
aulla	v.	open, disclose, reveal	mea irs here aulla omnis  —EXEC_SPHILIA/.	Central Standard Note
ayulsa	n.	eternity, for the eternity, continues forever	x. rre f.r.l. h.l.s.s. ayulsa dazua  —METHOD_REPLEKIA/.	New Testament of Pastalie
balduo	adj.	dark, of darkness, unable to be seen	x. sorr k.v.r. du qejyu dn balduo  —METHOD_REPLEKIA/.	New Testament of Pastalie
bale	n.	ball, jewel		Central Standard Note
bansh	v.	(violently) open (a door etc.)		Central Standard Note
basilic	n.	big snake, (derivative meanings) gun, cannon		Central Standard Note
bautifal	adj.	beautiful	Was yea ra vit bautifal faura anw dornpica  —EXEC_HIBERNATION/.	Central Standard Note
beja	v.	dirty, defile	Vinan wis pitod re beja  —Colors~SEN~Will This Flower Bloom?	Cult Ciel Note
beng	conj.	before (time), ago		Central Standard Note
